,approach,number_samples,simulation_number,distance_to_real
544,Random,15,17,0
545,Regular,15,17,6
546,Iterative,15,17,0
547,Random,17,17,5
548,Regular,17,17,5
549,Iterative,17,17,0
550,Random,19,17,4
551,Regular,19,17,4
552,Iterative,19,17,0
553,Random,25,17,0
554,Regular,25,17,3
555,Iterative,25,17,0
556,Random,30,17,0
557,Regular,30,17,0
558,Iterative,30,17,0
559,Random,35,17,0
560,Regular,35,17,1
561,Iterative,35,17,0
562,Random,5,18,3
563,Regular,5,18,24
564,Iterative,5,18,24
565,Random,7,18,7
566,Regular,7,18,16
567,Iterative,7,18,5
568,Random,9,18,23
569,Regular,9,18,12
570,Iterative,9,18,1
571,Random,11,18,10
572,Regular,11,18,9
573,Iterative,11,18,1
574,Random,13,18,4
575,Regular,13,18,8
576,Iterative,13,18,1
577,Random,15,18,1
578,Regular,15,18,7
579,Iterative,15,18,1
580,Random,17,18,4
581,Regular,17,18,6
582,Iterative,17,18,1
583,Random,19,18,1
584,Regular,19,18,5
585,Iterative,19,18,1
586,Random,25,18,1
587,Regular,25,18,4
588,Iterative,25,18,1
589,Random,30,18,1
590,Regular,30,18,1
591,Iterative,30,18,1
592,Random,35,18,1
593,Regular,35,18,2
594,Iterative,35,18,1
595,Random,5,19,40
596,Regular,5,19,11
597,Iterative,5,19,11
598,Random,7,19,21
599,Regular,7,19,11
600,Iterative,7,19,5
601,Random,9,19,6
602,Regular,9,19,11
603,Iterative,9,19,1
604,Random,11,19,17
605,Regular,11,19,2
606,Iterative,11,19,0
607,Random,13,19,11
608,Regular,13,19,3
609,Iterative,13,19,0
610,Random,15,19,15
611,Regular,15,19,4
612,Iterative,15,19,0
613,Random,17,19,1
614,Regular,17,19,5
615,Iterative,17,19,0
616,Random,19,19,4
617,Regular,19,19,1
618,Iterative,19,19,0
619,Random,25,19,0
620,Regular,25,19,3
621,Iterative,25,19,0
622,Random,30,19,0
623,Regular,30,19,0
624,Iterative,30,19,0
625,Random,35,19,0
626,Regular,35,19,0
627,Iterative,35,19,0
628,Random,5,20,50
629,Regular,5,20,18
630,Iterative,5,20,18
631,Random,7,20,22
632,Regular,7,20,2
633,Iterative,7,20,6
634,Random,9,20,10
635,Regular,9,20,6
636,Iterative,9,20,2
637,Random,11,20,14
638,Regular,11,20,9
639,Iterative,11,20,1
640,Random,13,20,6
641,Regular,13,20,2
642,Iterative,13,20,1
643,Random,15,20,9
644,Regular,15,20,4
645,Iterative,15,20,1
646,Random,17,20,4
647,Regular,17,20,6
648,Iterative,17,20,1
649,Random,19,20,8
650,Regular,19,20,2
651,Iterative,19,20,1
652,Random,25,20,5
653,Regular,25,20,2
654,Iterative,25,20,1
655,Random,30,20,3
656,Regular,30,20,3
657,Iterative,30,20,1
658,Random,35,20,6
659,Regular,35,20,1
660,Iterative,35,20,1
