"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"125"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"126"	"Regular"	6	45	"4"	21	"Regular"	5	"2"
"127"	"Random"	6	56	"3"	32	"Random"	5	"2"
"128"	"Iterative"	6	19	"4"	-5	"Iterative"	5	"2"
"129"	"Iterative"	8	30	"5"	6	"Iterative"	6	"2"
"130"	"Iterative"	10	7	"7"	-17	"Iterative"	7	"2"
"131"	"Regular"	7	38	"5"	14	"Regular"	5	"2"
"132"	"Random"	7	6	"4"	-18	"Random"	5	"2"
"133"	"Iterative"	7	38	"5"	14	"Iterative"	5	"2"
"134"	"Iterative"	7	30	"5"	6	"Iterative"	6	"2"
"135"	"Iterative"	9	38	"7"	14	"Iterative"	7	"2"
"136"	"Regular"	8	11	"6"	-13	"Regular"	5	"2"
"137"	"Random"	8	36	"6"	12	"Random"	5	"2"
"138"	"Iterative"	8	38	"3"	14	"Iterative"	5	"2"
"139"	"Iterative"	8	30	"5"	6	"Iterative"	6	"2"
"140"	"Iterative"	8	7	"6"	-17	"Iterative"	7	"2"
"141"	"Regular"	9	28	"7"	4	"Regular"	5	"2"
"142"	"Random"	9	46	"5"	22	"Random"	5	"2"
"143"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"144"	"Iterative"	9	30	"5"	6	"Iterative"	6	"2"
"145"	"Iterative"	9	38	"7"	14	"Iterative"	7	"2"
"146"	"Regular"	10	25	"8"	1	"Regular"	5	"2"
"147"	"Random"	10	26	"4"	2	"Random"	5	"2"
"148"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"149"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"150"	"Iterative"	10	7	"7"	-17	"Iterative"	7	"2"
"151"	"Regular"	11	38	"9"	14	"Regular"	5	"2"
"152"	"Random"	11	27	"7"	3	"Random"	5	"2"
"153"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"154"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"155"	"Iterative"	11	35	"7"	11	"Iterative"	7	"2"
"156"	"Regular"	12	28	"10"	4	"Regular"	5	"2"
"157"	"Random"	12	32	"10"	8	"Random"	5	"2"
"158"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"159"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"160"	"Iterative"	12	25	"7"	1	"Iterative"	7	"2"
"161"	"Regular"	13	38	"11"	14	"Regular"	5	"2"
"162"	"Random"	13	27	"6"	3	"Random"	5	"2"
"163"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"164"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
"165"	"Iterative"	13	25	"7"	1	"Iterative"	7	"2"
"166"	"Regular"	14	12	"12"	-12	"Regular"	5	"2"
"167"	"Random"	14	24	"8"	0	"Random"	5	"2"
"168"	"Iterative"	9	38	"3"	14	"Iterative"	5	"2"
"169"	"Iterative"	10	30	"5"	6	"Iterative"	6	"2"
